nombre_distribucion_voto,actor_politico,voto_actor_politico,total_votos,porcentaje_votacion,num_votos_nulos,porcentaje_votos_nulos,num_votos_can_nreg,porcentaje_can_nreg,casillas,secciones,municipios,distritos
"Por Total de votos","PAN","24728.000","250481.000","9.8722059","5470.000","2.1837984","263.000","0.1049980","599","197","0","0"
"Por Total de votos","PRI","55754.000","250481.000","22.2587741","5470.000","2.1837984","263.000","0.1049980","599","197","0","0"
"Por Total de votos","PRD","2001.000","250481.000","0.7988630","5470.000","2.1837984","263.000","0.1049980","599","197","0","0"
"Por Total de votos","PVEM","8976.000","250481.000","3.5835053","5470.000","2.1837984","263.000","0.1049980","599","197","0","0"
"Por Total de votos","PT","5611.000","250481.000","2.2400901","5470.000","2.1837984","263.000","0.1049980","599","197","0","0"
"Por Total de votos","MC","19444.000","250481.000","7.7626646","5470.000","2.1837984","263.000","0.1049980","599","197","0","0"
"Por Total de votos","MORENA","113403.000","250481.000","45.2740926","5470.000","2.1837984","263.000","0.1049980","599","197","0","0"
"Por Total de votos","NAEM","2680.000","250481.000","1.0699414","5470.000","2.1837984","263.000","0.1049980","599","197","0","0"
"Por Total de votos","PAN_PRI_PRD_NAEM","570.000","250481.000","0.2275622","5470.000","2.1837984","263.000","0.1049980","599","197","0","0"
"Por Total de votos","PAN_PRI_PRD","2709.000","250481.000","1.0815192","5470.000","2.1837984","263.000","0.1049980","599","197","0","0"
"Por Total de votos","PAN_PRI_NAEM","134.000","250481.000","0.0534971","5470.000","2.1837984","263.000","0.1049980","599","197","0","0"
"Por Total de votos","PAN_PRD_NAEM","30.000","250481.000","0.0119770","5470.000","2.1837984","263.000","0.1049980","599","197","0","0"
"Por Total de votos","PRI_PRD_NAEM","35.000","250481.000","0.0139731","5470.000","2.1837984","263.000","0.1049980","599","197","0","0"
"Por Total de votos","PAN_PRI","969.000","250481.000","0.3868557","5470.000","2.1837984","263.000","0.1049980","599","197","0","0"
"Por Total de votos","PAN_PRD","79.000","250481.000","0.0315393","5470.000","2.1837984","263.000","0.1049980","599","197","0","0"
"Por Total de votos","PAN_NAEM","29.000","250481.000","0.0115777","5470.000","2.1837984","263.000","0.1049980","599","197","0","0"
"Por Total de votos","PRI_PRD","74.000","250481.000","0.0295432","5470.000","2.1837984","263.000","0.1049980","599","197","0","0"
"Por Total de votos","PRI_NAEM","61.000","250481.000","0.0243531","5470.000","2.1837984","263.000","0.1049980","599","197","0","0"
"Por Total de votos","PRD_NAEM","93.000","250481.000","0.0371286","5470.000","2.1837984","263.000","0.1049980","599","197","0","0"
"Por Total de votos","PVEM_PT_MORENA","4924.000","250481.000","1.9658178","5470.000","2.1837984","263.000","0.1049980","599","197","0","0"
"Por Total de votos","PVEM_PT","330.000","250481.000","0.1317465","5470.000","2.1837984","263.000","0.1049980","599","197","0","0"
"Por Total de votos","PVEM_MORENA","1125.000","250481.000","0.4491359","5470.000","2.1837984","263.000","0.1049980","599","197","0","0"
"Por Total de votos","PT_MORENA","989.000","250481.000","0.3948403","5470.000","2.1837984","263.000","0.1049980","599","197","0","0"
"Por Total de votos","CC_PAN_PRI_PRD_NAEM","0.000","250481.000","0.0000000","5470.000","2.1837984","263.000","0.1049980","599","197","0","0"
"Por Total de votos","CC_PVEM_PT_MORENA","0.000","250481.000","0.0000000","5470.000","2.1837984","263.000","0.1049980","599","197","0","0"
