nombre_distribucion_voto,actor_politico,voto_actor_politico,total_votos,porcentaje_votacion,num_votos_nulos,porcentaje_votos_nulos,num_votos_can_nreg,porcentaje_can_nreg,casillas,secciones,municipios,distritos
"Por Partidos Politicos y candidatos independintes","PAN","24209.000","251311.000","9.6330841","10212.000","4.0634911","250.000","0.0994783","599","197","0","0"
"Por Partidos Politicos y candidatos independintes","PRI","63209.000","251311.000","25.1517045","10212.000","4.0634911","250.000","0.0994783","599","197","0","0"
"Por Partidos Politicos y candidatos independintes","PRD","3280.000","251311.000","1.3051558","10212.000","4.0634911","250.000","0.0994783","599","197","0","0"
"Por Partidos Politicos y candidatos independintes","PVEM","9807.000","251311.000","3.9023361","10212.000","4.0634911","250.000","0.0994783","599","197","0","0"
"Por Partidos Politicos y candidatos independintes","PT","5741.000","251311.000","2.2844205","10212.000","4.0634911","250.000","0.0994783","599","197","0","0"
"Por Partidos Politicos y candidatos independintes","MC","14539.000","251311.000","5.7852621","10212.000","4.0634911","250.000","0.0994783","599","197","0","0"
"Por Partidos Politicos y candidatos independintes","MORENA","117566.000","251311.000","46.7810800","10212.000","4.0634911","250.000","0.0994783","599","197","0","0"
"Por Partidos Politicos y candidatos independintes","NAEM","2498.000","251311.000","0.9939875","10212.000","4.0634911","250.000","0.0994783","599","197","0","0"
"Por Partidos Politicos y candidatos independintes","CAND_IND1","0.000","251311.000","0.0000000","10212.000","4.0634911","250.000","0.0994783","599","197","0","0"
"Por Partidos Politicos y candidatos independintes","CAND_IND2","0.000","251311.000","0.0000000","10212.000","4.0634911","250.000","0.0994783","599","197","0","0"
"Por Partidos Politicos y candidatos independintes","CAND_IND3","0.000","251311.000","0.0000000","10212.000","4.0634911","250.000","0.0994783","599","197","0","0"
"Por Partidos Politicos y candidatos independintes","CAND_IND4","0.000","251311.000","0.0000000","10212.000","4.0634911","250.000","0.0994783","599","197","0","0"
"Por Partidos Politicos y candidatos independintes","CAND_IND5","0.000","251311.000","0.0000000","10212.000","4.0634911","250.000","0.0994783","599","197","0","0"
"Por Partidos Politicos y candidatos independintes","CAND_IND6","0.000","251311.000","0.0000000","10212.000","4.0634911","250.000","0.0994783","599","197","0","0"
"Por Partidos Politicos y candidatos independintes","CAND_IND7","0.000","251311.000","0.0000000","10212.000","4.0634911","250.000","0.0994783","599","197","0","0"
"Por Partidos Politicos y candidatos independintes","CAND_IND8","0.000","251311.000","0.0000000","10212.000","4.0634911","250.000","0.0994783","599","197","0","0"
"Por Partidos Politicos y candidatos independintes","CAND_IND9","0.000","251311.000","0.0000000","10212.000","4.0634911","250.000","0.0994783","599","197","0","0"
