SECCION,TIPO DE SECCION,TIPO DE COLONIA,NOMBRE DE LA COLONIA,CP,DISTRITO_FEDERAL,DISTRITO_LOCAL,MUNICIPIO,NOMBRE_MUNICIPIO
4211,URBANO(A),COLONIA,AMPL OZUMBILLA,55760,5,22,82,TECAMAC
4211,URBANO(A),COLONIA,LOMA BONITA,55767,5,22,82,TECAMAC
4230,URBANO(A),COLONIA,LA LUPITA ( SAN PEDRO ATZOMPA ),55770,5,22,82,TECAMAC
4230,URBANO(A),FRACCIONAMIENTO,RINCONADA DE SAN PEDRO,55770,5,22,82,TECAMAC
4230,URBANO(A),PUEBLO,SAN PEDRO ATZOMPA,55770,5,22,82,TECAMAC
4232,URBANO(A),FRACCIONAMIENTO,HACIENDA OJO DE AGUA,55770,5,22,82,TECAMAC
4233,URBANO(A),PUEBLO,SAN PEDRO ATZOMPA,55770,5,22,82,TECAMAC
4234,URBANO(A),FRACCIONAMIENTO,OJO DE AGUA,55770,5,22,82,TECAMAC
4234,URBANO(A),PUEBLO,SAN PEDRO ATZOMPA,55770,5,22,82,TECAMAC
4248,URBANO(A),COLONIA,AMPL OZUMBILLA,55760,5,22,82,TECAMAC
4248,URBANO(A),COLONIA,JARDIN AMPL OZUMBILLA,55760,5,22,82,TECAMAC
4249,URBANO(A),COLONIA,AMPL OZUMBILLA,55760,5,22,82,TECAMAC
4250,URBANO(A),COLONIA,LOMA BONITA,55767,5,22,82,TECAMAC
4253,URBANO(A),COLONIA,SANTA CRUZ,55770,5,22,82,TECAMAC
4254,URBANO(A),COLONIA,LA ESMERALDA,55765,5,22,82,TECAMAC
4254,URBANO(A),COLONIA,LOMA BONITA,55767,5,22,82,TECAMAC
4255,URBANO(A),COLONIA,LOMA BONITA,55767,5,22,82,TECAMAC
2243,MIXTO(A),COLONIA,LOPEZ MATEOS,55780,20,22,45,JALTENCO
2243,MIXTO(A),PUEBLO,SAN ANDRES JALTENCO,55780,20,22,45,JALTENCO
2243,MIXTO(A),BARRIO,SAN MARTIN,55780,20,22,45,JALTENCO
2244,MIXTO(A),COLONIA,ATXOPILCO,55780,20,22,45,JALTENCO
2244,MIXTO(A),BARRIO,DE CUAHUALCO,55780,20,22,45,JALTENCO
