ENTIDAD,NOMBRE_ENTIDAD,DISTRITO_FEDERAL,DISTRITO_LOCAL,MUNICIPIO,SECCION,NOMBRE_MUNICIPIO
15,MEXICO,5,22,82,4211,TECAMAC
15,MEXICO,5,22,82,4230,TECAMAC
15,MEXICO,5,22,82,4232,TECAMAC
15,MEXICO,5,22,82,4233,TECAMAC
15,MEXICO,5,22,82,4234,TECAMAC
15,MEXICO,5,22,82,4248,TECAMAC
15,MEXICO,5,22,82,4249,TECAMAC
15,MEXICO,5,22,82,4250,TECAMAC
15,MEXICO,5,22,82,4253,TECAMAC
15,MEXICO,5,22,82,4254,TECAMAC
15,MEXICO,5,22,82,4255,TECAMAC
15,MEXICO,20,22,45,2243,JALTENCO
15,MEXICO,20,22,45,2244,JALTENCO
15,MEXICO,20,22,45,2245,JALTENCO
15,MEXICO,20,22,45,2246,JALTENCO
15,MEXICO,20,22,45,2250,JALTENCO
15,MEXICO,20,22,45,2251,JALTENCO
15,MEXICO,20,22,45,2252,JALTENCO
15,MEXICO,20,22,45,2253,JALTENCO
15,MEXICO,20,22,45,2254,JALTENCO
15,MEXICO,20,22,45,2255,JALTENCO
15,MEXICO,20,22,45,2256,JALTENCO
15,MEXICO,20,22,45,2257,JALTENCO
15,MEXICO,20,22,45,2258,JALTENCO
15,MEXICO,20,22,45,2259,JALTENCO
15,MEXICO,20,22,59,3036,NEXTLALPAN
15,MEXICO,20,22,59,3037,NEXTLALPAN
15,MEXICO,20,22,59,3038,NEXTLALPAN
15,MEXICO,20,22,59,3039,NEXTLALPAN
15,MEXICO,20,22,59,3040,NEXTLALPAN
15,MEXICO,20,22,59,3041,NEXTLALPAN
15,MEXICO,20,22,59,3042,NEXTLALPAN
15,MEXICO,20,22,59,3043,NEXTLALPAN
15,MEXICO,20,22,59,3045,NEXTLALPAN
15,MEXICO,20,22,59,6923,NEXTLALPAN
15,MEXICO,20,22,59,6924,NEXTLALPAN
15,MEXICO,20,22,59,6925,NEXTLALPAN
15,MEXICO,20,22,59,6926,NEXTLALPAN
15,MEXICO,20,22,59,6927,NEXTLALPAN
15,MEXICO,20,22,59,6928,NEXTLALPAN
15,MEXICO,20,22,59,6929,NEXTLALPAN
15,MEXICO,20,22,82,4235,TECAMAC
15,MEXICO,20,22,82,4236,TECAMAC
15,MEXICO,20,22,82,4237,TECAMAC
15,MEXICO,20,22,82,4238,TECAMAC
15,MEXICO,20,22,82,4239,TECAMAC
15,MEXICO,20,22,82,4240,TECAMAC
15,MEXICO,20,22,82,4242,TECAMAC
15,MEXICO,20,22,82,4243,TECAMAC
15,MEXICO,20,22,82,4244,TECAMAC
15,MEXICO,20,22,82,4245,TECAMAC
15,MEXICO,20,22,82,6264,TECAMAC
15,MEXICO,20,22,82,6265,TECAMAC
15,MEXICO,20,22,82,6266,TECAMAC
15,MEXICO,20,22,82,6267,TECAMAC
15,MEXICO,20,22,82,6268,TECAMAC
15,MEXICO,20,22,82,6269,TECAMAC
15,MEXICO,20,22,82,6270,TECAMAC
15,MEXICO,20,22,82,6271,TECAMAC
15,MEXICO,20,22,82,6272,TECAMAC
15,MEXICO,20,22,82,6273,TECAMAC
15,MEXICO,20,22,82,6274,TECAMAC
15,MEXICO,20,22,82,6275,TECAMAC
15,MEXICO,20,22,82,6276,TECAMAC
15,MEXICO,20,22,82,6277,TECAMAC
15,MEXICO,20,22,82,6278,TECAMAC
15,MEXICO,20,22,82,6279,TECAMAC
15,MEXICO,20,22,82,6280,TECAMAC
15,MEXICO,20,22,82,6281,TECAMAC
15,MEXICO,20,22,82,6282,TECAMAC
15,MEXICO,20,22,82,6283,TECAMAC
15,MEXICO,20,22,82,6284,TECAMAC
15,MEXICO,20,22,82,6285,TECAMAC
15,MEXICO,20,22,82,6286,TECAMAC
15,MEXICO,20,22,82,6287,TECAMAC
15,MEXICO,20,22,82,6288,TECAMAC
15,MEXICO,20,22,82,6289,TECAMAC
15,MEXICO,20,22,82,6291,TECAMAC
15,MEXICO,20,22,82,6292,TECAMAC
15,MEXICO,20,22,82,6293,TECAMAC
15,MEXICO,20,22,82,6294,TECAMAC
15,MEXICO,20,22,82,6295,TECAMAC
15,MEXICO,20,22,82,6296,TECAMAC
15,MEXICO,20,22,82,6297,TECAMAC
15,MEXICO,20,22,82,6298,TECAMAC
15,MEXICO,20,22,82,6299,TECAMAC
15,MEXICO,20,22,82,6300,TECAMAC
15,MEXICO,20,22,82,6301,TECAMAC
15,MEXICO,20,22,82,6302,TECAMAC
15,MEXICO,20,22,82,6303,TECAMAC
15,MEXICO,20,22,82,6304,TECAMAC
15,MEXICO,20,22,82,6305,TECAMAC
15,MEXICO,20,22,82,6306,TECAMAC
15,MEXICO,20,22,82,6307,TECAMAC
15,MEXICO,20,22,82,6308,TECAMAC
15,MEXICO,20,22,82,6309,TECAMAC
15,MEXICO,20,22,82,6310,TECAMAC
15,MEXICO,20,22,82,6311,TECAMAC
15,MEXICO,20,22,82,6312,TECAMAC
15,MEXICO,20,22,82,6313,TECAMAC
15,MEXICO,20,22,82,6314,TECAMAC
15,MEXICO,20,22,82,6315,TECAMAC
15,MEXICO,20,22,82,6316,TECAMAC
15,MEXICO,20,22,82,6317,TECAMAC
15,MEXICO,20,22,82,6318,TECAMAC
15,MEXICO,20,22,82,6319,TECAMAC
15,MEXICO,20,22,82,6320,TECAMAC
15,MEXICO,20,22,82,6321,TECAMAC
15,MEXICO,20,22,82,6322,TECAMAC
15,MEXICO,20,22,82,6323,TECAMAC
15,MEXICO,20,22,82,6324,TECAMAC
15,MEXICO,20,22,82,6325,TECAMAC
15,MEXICO,20,22,82,6326,TECAMAC
15,MEXICO,20,22,82,6327,TECAMAC
15,MEXICO,20,22,82,6328,TECAMAC
15,MEXICO,20,22,82,6329,TECAMAC
15,MEXICO,20,22,82,6330,TECAMAC
15,MEXICO,20,22,82,6331,TECAMAC
15,MEXICO,20,22,82,6332,TECAMAC
15,MEXICO,20,22,82,6333,TECAMAC
15,MEXICO,20,22,82,6334,TECAMAC
15,MEXICO,20,22,82,6335,TECAMAC
15,MEXICO,20,22,82,6336,TECAMAC
15,MEXICO,20,22,82,6337,TECAMAC
15,MEXICO,20,22,82,6338,TECAMAC
15,MEXICO,20,22,82,6339,TECAMAC
15,MEXICO,20,22,82,6340,TECAMAC
15,MEXICO,20,22,82,6341,TECAMAC
15,MEXICO,20,22,82,6342,TECAMAC
15,MEXICO,20,22,82,6343,TECAMAC
15,MEXICO,20,22,82,6344,TECAMAC
15,MEXICO,20,22,82,6345,TECAMAC
15,MEXICO,20,22,82,6346,TECAMAC
15,MEXICO,20,22,82,6347,TECAMAC
15,MEXICO,20,22,82,6348,TECAMAC
15,MEXICO,20,22,82,6349,TECAMAC
15,MEXICO,20,22,82,6350,TECAMAC
15,MEXICO,20,22,82,6351,TECAMAC
15,MEXICO,20,22,82,6546,TECAMAC
15,MEXICO,20,22,82,6547,TECAMAC
15,MEXICO,20,22,82,6548,TECAMAC
15,MEXICO,20,22,82,6549,TECAMAC
15,MEXICO,20,22,82,6550,TECAMAC
15,MEXICO,20,22,82,6551,TECAMAC
15,MEXICO,20,22,82,6552,TECAMAC
15,MEXICO,20,22,82,6553,TECAMAC
15,MEXICO,20,22,82,6554,TECAMAC
15,MEXICO,20,22,82,6555,TECAMAC
15,MEXICO,20,22,82,6556,TECAMAC
15,MEXICO,20,22,82,6557,TECAMAC
